,SMILES
139,O=C(N1CC=2C(=O)NC(C)=NC=2C1)C=1NC(=O)C=CC=1
140,FC(F)(F)c1cc([C@H](NC(=O)[C@@H]2C[C@@H](C)NC(=O)C2)C2CC2)ccc1
141,Fc1c(C2(NC(=O)[C@H]3CC(=O)NCC3)CCC2)cccc1
142,S(C[C@H]1NC(=O)CC1)C=1N(Cc2occc2)C(=O)c2c(N=1)cccc2
143,O=C(CN(C)c1ccccc1)N1C[C@H]2N(C(=O)c3c2cccc3)CC1
144,O=C(NC1(c2scc(C)n2)CCCC1)[C@@H]1C[C@@H](C)NC(=O)C1
145,FC(F)(F)c1onc(C2(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)CCCC2)n1
146,FC(F)(F)c1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CC2)cc1
147,Fc1cc2NC(=O)C[C@H](C(=O)NC3(C)CC(F)(F)C3)c2cc1
148,FC(F)(F)[C@H]1[C@H](NC(=O)CC(=O)N)CN(C(=O)C2=CC(=O)NC=C2)C1
149,FC(F)(F)c1ccc(C2(NC(=O)C[C@@H]3NC(=O)CCC3)CCC2)cc1
150,Fc1cc(c(NC(=O)[C@@H]2C[C@H](CC)NC(=O)C2)cc1)-c1cn(C)nc1
151,Fc1cc2NC(=O)C[C@H](C(=O)N[C@@H]3c4c(cc(F)cc4)CC3)c2cc1
152,FC(F)(F)C[C@H](NC(=O)[C@H]1CC(=O)NCC1)c1ccc(C)cc1
153,Clc1ccc(C2(NC(=O)C=3C=C(CC)NC(=O)C=3)CCCC2)cc1
154,Fc1cc(N2C(=O)CC[C@H](C(=O)OCc3[nH]nc(CC)n3)C2)ccc1
155,O=C(N[C@@H](CNC(=O)c1occc1)C)[C@@H](NC(=O)C)Cc1[nH]cnc1
156,O=C(NC1(c2nc(C(C)C)on2)CCCC1)[C@@H]1C[C@@H](C)NC(=O)C1
157,Fc1c(O)ccc(CC(=O)N[C@@H](COC(=O)N)Cc2ccccc2)c1
158,Fc1c(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCC2)ccc(F)c1
159,O=C(N[C@H](CNC(=O)c1[nH]cc(C#N)c1)C1CC1)[C@@H]1NC(=O)NC1
