Model no.,lossf,kernel_size,stages,filters,stride,fc_layers,activation,optimizer,reg,batch_size,epochs,val_loss,val_acc(%),val_auc,val_f1s,val_mcc,val_sens,val_spec,test_loss,test_acc(%),test_auc,test_f1s,test_mcc,test_sens,test_spec
37,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[9, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 18, 36]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3]","[18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3]","[9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
